"Reference","Value","Qty","Manufacturer_Name","Manufacturer_Part_Number","SPN","Price"
"J6","USB_MicroB_Receptical_5pin","1","Same Sky","UJ2-MIBH-G-SMT-TR","2223-UJ2-MIBH-G-SMT-TR-ND","0.67"
"L1","2.2uH","1","INPAQ Technology Co., Ltd","WIP252012S-2R2MLDG","3526-WIP252012S-2R2MLDGTR-ND","0.15"
"R11,R13","0","2","Panasonic Electronic Components","ERJ-6GEY0R00V","P0.0ATR-ND","0.16"
"U1","114993390","1","Seeed Technology Co., Ltd","114993390","1597-114993390-ND","7.83"
"U7","RT6150B-33GQW","1","RICHTEK","RT6150B-33GQW","RT6150B-33GQWTR-ND","4.62"
"U8","ESP32-S3-MINI-1-N4R2","1","Espressif Systems","1965-ESP32-S3-MINI-1-N4R2TR-ND","","8.4"
"C1,C4,C7,C11,C12,C13,C17","22uF","7","Samsung Electro-Mechanics","CL21X226MQQNNNE","1276-3031-2-ND","0.2"
"C2,C3,C5,C6,C8,C9,C10,C14,C15,C16","0.1uF","10","Kyocera AVX","KGM21NR71H104KT","478-KGM21NR71H104KTTR-ND","0.12"
"J2,J3,J4","Screw_Terminal_01x04","3","Same Sky","TB001-500-04BE","102-6136-ND","0.85"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R14,R15,R16,R17,R18,R19","10k","17","YAGEO","RC0805JR-0710KL","311-10KARTR-ND","0.019"
"D1,D2,D3,D4","BAT42W RHG","4","Taiwan Semiconductor Corporation","BAT42W RHG","BAT42WRHGTR-ND","0.17"
"J5","Micro_SD_Card","1","GCT","MEM2067-02-180-00-A","2073-MEM2067-02-180-00-ATR-ND","1.60"
"Q1,Q2","Q_Dual_PMOS_S1G1D2S2G2D1","2","Goford Semiconductor","G170P02D32","3141-G170P02D32TR-ND","1.01"
"U2","SAM-M10Q","1","","","",""
"U3","ICM-42670-P","1","TDK","ICM-42670-P","1428-ICM-42670-PTR-ND","5.90"
"U4","H3LIS331DLTR","1","STMicroelectronics","H3LIS331DLTR","497-13903-2-ND","17.79"
"U5","LIS2MDL","1","STMicroelectronics","LIS2MDLTR","497-17588-2-ND","3.71"
"U6","MS5611-01BA","1","TE Connectivity Measurement Specialties","MS561101BA03-50","223-1622-2-ND","14.99"
