"Reference","Value","Qty","Manufacturer_Name","Manufacturer_Part_Number","SPN","Price"
"C11,C12,C17","22uF","3","Samsung Electro-Mechanics","CL21X226MQQNNNE","1276-3031-2-ND","0.2"
"C15,C16","0.1uF","2","Kyocera AVX","KGM21NR71H104KT","478-KGM21NR71H104KTTR-ND","0.12"
"J4","Screw_Terminal_01x04","1","Same Sky","TB001-500-04BE","102-6136-ND","0.85"
"J6","USB_MicroB_Receptical_5pin","1","Same Sky","UJ2-MIBH-G-SMT-TR","2223-UJ2-MIBH-G-SMT-TR-ND","0.67"
"L1","2.2uH","1","INPAQ Technology Co., Ltd","WIP252012S-2R2MLDG","3526-WIP252012S-2R2MLDGTR-ND","0.15"
"R6,R7,R9,R10,R15","10k","5","YAGEO","RC0805JR-0710KL","311-10KARTR-ND","0.019"
"R11,R13","0","2","Panasonic Electronic Components","ERJ-6GEY0R00V","P0.0ATR-ND","0.16"
"U1","114993390","1","Seeed Technology Co., Ltd","114993390","1597-114993390-ND","7.83"
"U7","RT6150B-33GQW","1","RICHTEK","RT6150B-33GQW","RT6150B-33GQWTR-ND","4.62"
"U8","ESP32-S3-MINI-1-N4R2","1","Espressif Systems","1965-ESP32-S3-MINI-1-N4R2TR-ND","","8.4"
